,Date,Rate,reviews
366,2016年2月18日,5,超爽的 ：) 才剛剛玩就一堆二星的
367,2016年2月1日,5,Good Good
368,2016年1月3日,5,ヾ(*´∀｀*)ﾉ♥♡♥♡ 劇情有趣，傭兵可愛，值得玩的遊戲
369,2016年3月6日,5,ww 日版還是很可愛啊www
370,2016年1月30日,5,good good
371,2016年2月5日,5,好遊戲 畫風好，營運公司有良
372,2016年2月5日,5,好玩 好棒
373,2016年2月4日,4,good
374,2016年2月17日,4,Good Good
375,2016年2月3日,5,GOOD とても面白いです
376,2017年1月7日,5,能的話，真希望能把台服資料轉到日服，但我知道這是強人所難啦…不過台服的心血與課金還真的成灰了呢…
377,2016年2月6日,5,好可愛
378,2016年1月11日,5,從台版轉來的
